robot,label,trajectory,seed,run_dir,tcp_rmse_mm,command_acceleration_rms_rad_s2,command_acceleration_p95_rad_s2,command_acceleration_max_rad_s2,command_jerk_rms_rad_s3,command_jerk_p95_rad_s3,command_jerk_max_rad_s3,torque_rms_nm,torque_abs_p95_nm,torque_abs_max_nm,torque_slew_rms_nm_s,torque_slew_p95_nm_s,torque_slew_max_nm_s,torque_utilization_p95,torque_utilization_max,absolute_mechanical_power_mean_w,absolute_mechanical_power_p95_w,absolute_mechanical_power_max_w
ABB,FullVirtual,fast_ellipse,4,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/fast_ellipse_seed_4,32.786665316186344,6.815491566785257,12.500286102294922,12.500286102294922,703.8190136640335,1999.974250793457,2500.0572204589844,19.148797874887297,45.99920272827142,115.87841033935547,219.5230123697181,508.1189274787903,1160.7383728027344,nan,nan,5.784800489569825,19.043080725538676,32.32083360591317
ABB,ThreadedASAP,fast_ellipse,4,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/fast_ellipse_seed_4,33.3296760542524,6.901222943728534,12.500286102294922,12.500286102294922,693.6182832087122,1999.974250793457,2500.0572204589844,22.221655046624388,52.891325569152805,169.69573974609375,230.42641263088169,507.6147735118866,1486.9654655456543,nan,nan,7.517771725762385,25.750518753037216,58.78543742329131
ABB,DirectIK,rounded_square,0,./outputs/robustness/paper_three_ik_l036_s5_v1/physical/nominal/rounded_square_seed_0,34.999040263917486,0.592301405259407,1.045316457748413,4.372596740722656,58.83687991364837,135.0659877061844,453.7999629974365,4.688524388112917,11.095086097717283,21.72933578491211,19.01403786348726,44.62631940841675,148.4888069331646,nan,nan,0.9941354521940566,4.060338413285449,5.531218363414229
ABB,FullVirtual,rounded_square,0,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/rounded_square_seed_0,25.369962301241095,6.619385947562625,12.500286102294922,12.500286102294922,701.672649652502,1999.974250793457,2500.0572204589844,16.976181871705542,40.90457210540764,153.7901611328125,201.28028921910098,453.29506397247314,1358.8783264160156,nan,nan,4.351206857833384,16.367260449147203,37.534761011818986
ABB,ThreadedASAP,rounded_square,0,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/rounded_square_seed_0,23.71334937860252,6.494716675438575,12.500286102294922,12.500286102294922,673.5800563955557,1999.974250793457,2500.0572204589844,12.791391086197043,31.37612323760986,89.30247497558594,182.4237412890263,409.1667041182518,1073.507308959961,nan,nan,2.7331827962860546,10.479398628001004,19.892523032868315
ABB,FullVirtual,rounded_square,1,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/rounded_square_seed_1,22.57594863454961,6.333215695863409,12.500286102294922,12.500286102294922,681.8745657878437,1999.974250793457,2500.0572204589844,10.597549379782864,24.78494148254394,100.5367431640625,153.66785414931257,348.96259903907776,1161.8355751037598,nan,nan,2.3078697334185874,10.400098742136507,24.671173727427004
ABB,ThreadedASAP,rounded_square,1,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/rounded_square_seed_1,26.27189297387444,6.461811893137165,12.500286102294922,12.500286102294922,667.6911582882589,1999.974250793457,2500.0572204589844,16.360773969669907,39.89627418518066,94.76304626464844,189.09495606008213,463.2622718811035,1025.3121614456177,nan,nan,3.9766321334011314,13.221210093971717,24.63737040150407
ABB,FullVirtual,rounded_square,2,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/rounded_square_seed_2,23.440839005171174,6.484842684245183,12.500286102294922,12.500286102294922,707.2796785315749,1999.974250793457,2500.0572204589844,11.794336742335798,27.383861064910857,109.12808990478516,166.70334985328734,372.9905128479004,1100.105094909668,nan,nan,2.7427276365751174,12.703343242817128,26.05083213801209
ABB,ThreadedASAP,rounded_square,2,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/rounded_square_seed_2,23.098325861821035,6.377689920319024,12.500286102294922,12.500286102294922,654.050271836044,1999.974250793457,2500.0572204589844,12.806999151057086,30.40821828842159,100.27557373046875,175.13380420738358,390.91755896806717,1149.1809844970703,nan,nan,2.883320952723678,12.996773358890353,25.602060748243808
ABB,FullVirtual,rounded_square,3,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/rounded_square_seed_3,23.173727472482295,6.455577556034141,12.500286102294922,12.500286102294922,683.6358226451063,1999.974250793457,2500.0572204589844,13.074748451181607,29.64706058502196,107.26742553710938,177.9243147763163,377.73241996765137,1235.5911254882812,nan,nan,2.955098822101933,12.62857975767979,30.98449414428434
ABB,ThreadedASAP,rounded_square,3,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/rounded_square_seed_3,24.40740546116609,6.374886264617854,12.500286102294922,12.500286102294922,671.5035867615048,1999.974250793457,2500.0572204589844,8.450510340166002,20.294558334350576,76.13078308105469,136.47083780915943,311.7040157318115,876.9227027893066,nan,nan,1.8545141687994062,6.966819933270919,13.945802544578044
ABB,FullVirtual,rounded_square,4,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/rounded_square_seed_4,22.660715852966966,6.364197791718558,12.500286102294922,12.500286102294922,689.755863746224,1999.974250793457,2500.0572204589844,10.979056042547818,24.835033702850296,96.73274993896484,153.39263969448209,350.2218723297119,979.1852951049805,nan,nan,2.3647245795731826,10.354690866958524,25.817066527375303
ABB,ThreadedASAP,rounded_square,4,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/rounded_square_seed_4,23.63317499298403,6.573623339710439,12.500286102294922,12.500286102294922,678.6439282365118,1999.974250793457,2500.0572204589844,13.994601204154948,27.241734886169432,152.43185424804688,185.00066090493365,398.6886739730835,1408.430701494217,nan,nan,2.880154384029099,11.707535427266247,29.54807873484255
UR5e,ProjectedDirectIK,circle,0,./outputs/paper_ur5e_v2/runs/ProjectedDirectIK/circle/seed_0,16.691277833623936,0.6393684134118132,1.7058849334716797,3.603696823120117,71.22146946228091,124.79424476623528,593.5430526733398,2.0486883143806045,5.623970985412598,11.0610990524292,10.06090793513532,27.729034423828125,69.24595832824707,0.04432654396692912,0.07469339881624494,1.0779605551384888,5.370411619829712,6.134964780255986
UR5e,FullVirtual,circle,0,./outputs/paper_ur5e_v2/runs/FullVirtual/circle/seed_0,13.094077080474912,8.167524390634965,12.5,12.50002384185791,863.6175977941806,2000.0934600830078,2500.001907348633,4.284292022260131,10.369386672973624,21.55832862854004,106.3363169579904,211.7560495436191,249.7513771057129,0.1045249137367521,0.2959514004843576,2.442815303518686,8.450891714679981,16.30611121322528
